,헤드라인,내용,날짜,자치구,법정동
129,"삼익그린2차재건축사업, 상가소유자가 아파트 분양받는다?...조합 적극 해명",[취재  인터넷언론인연대 취재본부 편집 이재상 기자] 서울 강동구 명일동에 위치한 삼익그린2차 재건축사업에서 상가소유주들이 집행부를 장악해 아 ...,2022.05.04,강동구,명일동
130,서울형 임대주택 이렇게 바뀐다...60㎡ 이상·최신 인테리어 반영,서울에서 고품질의 임대주택이 공급될 전망이다.  오세훈 서울시장은 18일 재정비를 앞둔 ‘하계5단지(서울 노원구 하계동 272 일원)’에서 ｢서울 임대 ...,2022.04.18,노원구,하계동
131,‘둔촌 주공’ 공사 중단에 따른 조합원 손실은 누구 책임인가?,[취재  인터넷언론인연대 취재본부 은태라 기자  편집 김아름내 기자]  서울 강동구 둔촌주공아파트(올림픽파크 포레온) 재건축 사업이 17일 부터 중 ...,2022.04.15,강동구,전체
132,"서울 장위14구역, 2,500세대 규모 아파트 들어선다",서울시는 제3차 도시재정비위원회를 통해 성북구 장위동 233-552번지 일대 장위14 재정비촉진구역에 대한 촉진계획 변경(안)을 '수정가결'했다고 밝혔다 ...,2022.04.10,성북구,장위동
133,﻿송재혁 서울시의원 제안한 '재건축 안전진단서 배관 노후도 평가 제외' 인수위에 건의,"송재혁 서울시의원이 제안한 '재건축 안전진단에서 배관 노후도 평가 제외'가 대통령직 인수위원회에 건의됐다. 송재혁 의원(더불어민주당, 노원6)은  ...",2022.04.04,노원구,전체
134,재건축 최대어 '둔촌주공' 공사 중단 위기 ,서울 강동구 둔촌주공 재건축사업이 중단될 위기에 처했다.  시공사인 현대건설·HDC현대산업개발·롯데건설·대우건설(현대건설 컨소시엄) 등은 강동 ...,2022.03.16,강동구,전체
135,"강동구 명일동 ‘삼익맨숀’, 합리적 재건축 위한 설명회 개최",서울 강동구 명일동 삼익맨숀(가든)이파트 재건축과 관련한 ‘빠르고 합리적인 재건축을 위한 주민 설명회’가 3일 오후 강동구청 구민회관에서 개최됐 ...,2022.03.04,강동구,명일동
136,"HDC현대산업개발, 월계동신아파트 재건축사업 수주 ",서울시 노원구 월계동신 아파트 주택재건축정비사업 시공사로 HDC현대산업개발이 선정됐다. HDC현산은 지난 2월 27일 열린 시공자 선정총회에서 조합원 ...,2022.03.02,노원구,월계동
137,강동구 명일동 삼익맨숀 분리 재건축 ‘이상동몽’ 솔로몬의 지혜는?,"[취재 인터넷언론인연대 취재본부 편집 김아름내 기자] “토지분할 소송으로 5동을 제척하고, 이후 (5동이 재건축에) 함께 한다면 받아준다는 개념이다 ...",2022.03.01,강동구,명일동
138,서울 강동 명일동 ‘삼익가든’ 분리 재건축 가능할까,서울 강동구 명일동 삼익맨숀(가든)아파트가 재건축 사업 추진에 있어이견을 좁히지 못하고 있다. 지난해 2월 조합설립 동의율을 얻으며 재건축 사업이 ...,2022.02.24,강동구,명일동
