,헤드라인,내용,날짜,자치구,법정동
64,"서울 노원구, 재건축·재개발 신속추진 포럼 운영",서울 노원구는 속도감 있는재건축·재개발 추진을 위해 '신속추진 포럼'을 운영한다고 10일 밝혔다.노원구는 서울 25개 자치구 중 준공 30년 이상된 아파 ...,2024.01.10,노원구,전체
65,서울 강동구 천호동 214-19 일대 신통기획 확정,"서울시는 강동구 천호동 214-19번지 일대 재개발 사업(천호3-1구역)의 신속통합기획을 확정했다고 9일 밝혔다. 23층, 634세대로 공급된다. 천호 3-1, 3-2, 3-3 구 ...",2024.01.09,강동구,천호동
66,"장위10구역, 알박기 '사랑제일교회' 빼고 재개발 확정",전광훈 교회로 알려진 사랑제일교회를 빼고(제척) 장위10구역이 재개발을 진행한다.서울시는 21일 제12차 서울특별시 도시재정비위원회를 열고 성북구  ...,2023.12.22,성북구,전체
67,"서울 강동구, ""둔촌주공 재건축 적기 준공토록""...대책회의 개최","서울 강동구는 둔촌주공아파트 재건축 사업의 적기 준공을 위한 종합대책회의를 가졌다고 15일 밝혔다.14일 진행된 회의에는 둔촌주공조합, 건축관계자 ...",2023.12.15,강동구,전체
68,서울 강동 천호동 A1-1 40층 747세대·A1-2 40층 781세대 공급,서울시는 천호동 저층주거지가 한강뷰 단지로 변모한다고 14일 밝혔다.천호 A1-1구역은 A1-2구역과 연계된 통합 계획으로 조화로운 단지를 조성한다.시는 ...,2023.12.14,강동구,천호동
69,서울 강서‧강동‧관악 등 6곳 모아타운 심의 통과,"재개발이 어려웠던 서울 강서구 화곡동, 강동구 둔촌동 일대가 모아타운 심의를 통과하며 양질의 주택 공급이 가능해졌다.서울시는 최근제2차 소규모주 ...",2023.12.12,강동구,둔촌동
70,서울 동대문 답십리·서대문 홍제동 모아타운 선정,"서울시 동대문구 답십리동, 서대문구 홍제동이 모아타운 대상지로 선정됐다.서울시는 전날(4일) 제5차 모아타운 대상지 선정위원회를 열고강동구 천호 ...",2023.12.05,강동구,전체
71,"서울 성북구 장위14구역 건축심의 통과, 2469세대 공급",서울시는 제21차 건축위원회를 열고 장위14재정비촉진구역 주택정비형 재개발사업 신림동 미성아파트 주택정비형 재건축사업 화양동 489번지 역세권 장 ...,2023.11.29,성북구,전체
72,"서울시, 구로·성북·중랑구 모아타운 선정","서울시 구로구 구로동, 성북구 석관동, 중랑구 망우3동·묵2동 등 총 4곳이 저층주거지 정비방식 ‘모아타운’ 대상지로 선정됐다. 함께 신청한 강북구  ...",2023.11.28,성북구,석관동
73,"서울 노원 상계주공5단지, GS건설 시공사 계약 해지",서울 노원구 상계주공5단지가 세대당 분담금 증가와 긴 공사기간 등을 이유로 GS건설 과 계약을 해지했다. GS건설은 사업비용에 대한 소송 절차를 검토  ...,2023.11.28,노원구,전체
74,서울시 신속통합기획 후보지로 전농동·성북동·망원동 선정,"서울시는 6차 신속통합기획 민간재개발 후보지로 전농동 152-65일대, 성북동 3-38일대, 망원동 416-53일대를 선정했다고 23일 밝혔다.서울시는 선정기준(안) ...",2023.11.23,성북구,성북동
75,장위8‧9구역 재정비촉진계획 통과..5000여세대 주택 공급,서울 성북구 장위8·9구역이 5000여세대 주택단지로 변모한다.서울시는 지난 1일 제2차 도시재정비위원회 수권소위원회를 열고 장위8구역인 성북구 장위 ...,2023.11.02,성북구,전체
76,서울 노원구 공릉2택지개발지구에 복합문화시설 조성,서울 노원구 공릉2택지개발지구에 공공도서관 및 문화·체육시설이 포함된 복합문화시설이 들어선다.서울시는 전날 제14차 도시·건축공동위원회를 개 ...,2023.09.14,노원구,전체
77,"서울시 면목동·종암동 일대, 신통기획 재개발 후보지 선정","서울 중구 면목동 172-1일대(47,798㎡)·성북구 종암동 125-35일대(31,295㎡)일대가 신통기획 재개발 후보지로 선정됐다.서울시는 17일 3차 신속통합기획 민간재 ...",2023.08.18,성북구,종암동
78,장위10구역 '사랑제일교회'빼고 재개발 추진..32층 2004가구 규모,장위10구역재개발조합이 사랑제일교회를 제척하고 재개발사업을 추진하는 안을 확정했다.조합은 지난 8일 오후 서울 성북구에 위치한 아리랑힐호텔에 ...,2023.08.09,성북구,전체
79,서울 노원구 ‘중계동 백사마을’ 재개발 속도,"서울 마지막 달동네로 불리는 노원구 중계동 백사마을의 관리처분인가 신청이 전체회의에서 의결됐다.서울시의회 서준오 의원(더불어민주당, 노원4)은 ...",2023.08.01,노원구,중계동
80,"서울 강동 고덕현대, 50층 내외 940세대 신통기획 확정",서울시는 강동구 명일동 고덕현대아파트에 대한 신속통합기획을 확정했다고 28일 밝혔다.고덕현대아파트는 1980년대 개발된 고덕택지 명일동 지역의 첫 ...,2023.07.28,강동구,명일동
81,서울 노원 하계동 현대·우성 정밀안전진단 통과...재건축 탄력,서울 노원구 노후 단지들이 정밀안전진단을 통과하며 재건축 사업에 탄력을 받고 있다.4일 정비업계에 따르면 서울시 노원구 하계동 현대·우성아파트 ...,2023.07.04,노원구,하계동
82,"서울 성북구 정릉 공영차고지, 문화·체육시설로 복합개발 계획",서울 성북구 정릉 버스 공영차고지에 문화·체육시설 복합개발이 추진된다.서울시는 지난 달 26일 정릉4동 동주민센터에서 「정릉 공영차고지 문화·체 ...,2023.07.03,성북구,전체
83,"서울 강동 천호동 532-2번지, 24층 568가구로 재개발 ",노후 저층주거지가 밀집한 서울 강동구 천호동 532-2번지(천호3-3구역)가 최고 24층 568가구로 변모한다.서울시는 최근「제2차 도시계획위원회 신속통합기 ...,2023.06.09,강동구,천호동
84,"서울 노원 상계5동 154-3일대, 39층 4300가구로 재개발","서울 노원구 노후 저층 주거지의 신속통합기획이 확정됐다.서울시는 노원구 상계5동 154-3일대는 수락산의 자연경관과 상계역세권의 편의성, 계상초등학 ...",2023.06.05,노원구,전체
85,서울 노원 상계5구역 재정비계획 통과...2042세대 아파트 들어선다,"지하철 4호선 당고개역 역세권에 2028년 지상 33층 높이, 2,042세대 아파트가 들어선다.서울시는 16일 열린 제4차 도시재정비위원회에서 상계5재정비촉진구 ...",2023.05.17,노원구,전체
86,"장위10구역, 사랑제일교회 제척 후 재개발 확정",서울 성북구 장위10구역 주택재개발정비사업 조합이 사랑제일교회를 제척하고 재개발하는데 의견을 모았다. 조합은 10일 오후 아리랑힐 호텔 지상3층에 ...,2023.05.10,성북구,전체
87,"태영건설, 서울 성북구 하월곡2구역 가로주택정비사업 수주 ",태영건설은 서울 성북구 하월곡2구역 가로주택정비사업을 수주했다고 4일 밝혔다.  정비사업을 통해 서울시 성북구 하월곡동 40-89번지 일대는 지하 2 ...,2023.05.04,성북구,하월곡동
88,"김영철 서울시의원, ""목동 1·2·3 단지 주민 재산권 침해 최소화 방안 마련해야""","서울특별시 양천구 목동아파트 1·2·3단지 조건없는 3종 환원 촉구 결의안에 대해 김영철 서울시의원(국민의힘, 강동5)은 지난 20일, 제318회 임시회에서  ...",2023.04.21,강동구,전체
