,Unnamed: 0,헤드라인,내용,날짜,자치구,법정동
1214,1214,"두산건설·남광토건 컨소, 경기 남양 지금·도농6-2구역 재개발 수주",두산건설·남광토건 컨소시엄이 경기도 남양주 지금·도농6-2구역 재개발 사업을 따냈다.지금·도농6-2구역 재개발 시공사 선정총회에서 시공사로 선정된 ...,2023.12.04,서울,전체
1215,1215,"중흥토건, 올해 도시정비사업 1조 수주 눈앞 ",중흥그룹 중흥토건의 올해 도시정비사업 수주 실적이 1조 원을 넘을 전망이다.중흥토건은 지난3월 ‘부산 부원아파트 소규모재건축’을 시작으로 ‘서 ...,2023.12.04,서울,전체
1216,1216,"안양 J아파트 조합, 무등록 업체에 지장물 철거 용역 맡겨 논란",재건축정비사업 조합이 지장물 철거에 있어 무면허업체에 용역계약을 체결했다는 의혹을 받고 있다.이를 문제삼은 조합원이 지장물 철거 공사를 했다 ...,2023.12.04,그외,전체
1217,1217,"서울 강북구, 번동 441-3 신통기획 주민설명회 개최",서울 강북구는 오는 7일 오후 7시강북구청 대강당 4층에서 번동 441-3번지 일대 주택재개발 후보지 신속통합기획(안) 주민설명회를 개최한다.번동 441-3번 ...,2023.12.04,서울,전체
1218,1218,"김민철 의원, ""도시재정비촉진법 국토위 통과..원활한 사업 추진 기대"" ",낙후된 구도심 정비를 활성화 할 ‘도시재정비 촉진을 위한 특별법 일부개정법률안(도촉법)’이 30일 국회 국토교통위원회 전체회의를 통과했다 .김민 ...,2023.11.30,그외,전체
1219,1219,"1기 신도시, 30층 재건축 가능..노후계획도시 특별법 국토위 소위 통과",수도권 1기 신도시 용적률을 최대 500%까지 올릴 수 있는 '노후계획도시 정비 및 지원에 관한 특별법'이 30일 국회 국토교통위원회 법안심사소위를 통과함 ...,2023.11.30,그외,전체
1220,1220,"최재란 서울시의원 ""안전한 리모델링 활성화 위한 연구 필요"" ","서울시의회 최재란 의원(더불어민주당, 비례)은 2024년도 주택정책실 소관 예산안 예비심사에서 안전한 리모델링 활성화를 위한 심도 있는 연구가 필요 ...",2023.11.30,서울,전체
1221,1221,재초환법 완화..초과이익 8천만원까지 부담금 면제,재건축 초과이익 환수제 일명 '재초환법'이 국회 국토교통위원회 국토법안소위원회를 통과했다.29일 국토위 법안소위는 재건축 초과이익 부담금 면제  ...,2023.11.29,그외,전체
1222,1222,"서울 성북구 장위14구역 건축심의 통과, 2469세대 공급",서울시는 제21차 건축위원회를 열고 장위14재정비촉진구역 주택정비형 재개발사업 신림동 미성아파트 주택정비형 재건축사업 화양동 489번지 역세권 장 ...,2023.11.29,성북구,전체
1223,1223,"현대건설, 경기 군포 산본1동1지구 재개발사업 수주","현대건설은 6,300억 원 규모의 ‘산본1동1지구 재개발사업’을 수주했다고 29일 밝혔다.산본1동1지구 재개발사업 시행자인 한국자산신탁은 지난 26일 열린 ...",2023.11.29,그외,전체
1224,1224,"서울 강북구, 번동2지역 모아타운 주민설명회 개최",서울 강북구는번동454번지 일대 번동2지역 모아타운 관리계획(안) 주민설명회를 개최한다고 29일 밝혔다.주민설명회는 30일 오후 6시 30분부터 강북구청  ...,2023.11.29,서울,전체
1225,1225,불광5구역재개발조합에 제척 이행 요구한 은광교회,서울 은평구 불광제5주택재개발정비사업조합(조합장 조광흠)과 구역 내에서 제척을 요구하는 은광교회 간 입장차가 좁혀지지 않고 있다.은광교회는 최 ...,2023.11.28,서울,전체
1226,1226,"국토부 ""신탁사, 재건축·재개발 정비사업 자금 직접 조달""","재개발, 재건축 정비사업에 사업시행자로 선정되는 신탁사의 역할과 책임이 강화된다.국토교통부는 정비사업 추진 주민·신탁사 간 공정한 계약체결과 ...",2023.11.28,그외,전체
1227,1227,"서울시, 구로·성북·중랑구 모아타운 선정","서울시 구로구 구로동, 성북구 석관동, 중랑구 망우3동·묵2동 등 총 4곳이 저층주거지 정비방식 ‘모아타운’ 대상지로 선정됐다. 함께 신청한 강북구  ...",2023.11.28,성북구,석관동
1228,1228,"서울 노원 상계주공5단지, GS건설 시공사 계약 해지",서울 노원구 상계주공5단지가 세대당 분담금 증가와 긴 공사기간 등을 이유로 GS건설 과 계약을 해지했다. GS건설은 사업비용에 대한 소송 절차를 검토  ...,2023.11.28,노원구,전체
1229,1229,"리모델링 추진 단지들 ""서울시 가이드라인 마련"" 촉구","서울시 리모델링 추진 단지들이 서울시 리모델링 가이드라인 마련에 한 목소리를 냈다.서울시의회 허훈 의원(국민의힘, 양천2)은 24일 국민의힘 조수진 ...",2023.11.27,서울,전체
1230,1230,"현대ENG, 송파 가락현대6차 가로주택정비사업 수주",현대엔지니어링은 지난 26일 송파 가락현대6차아파트 가로주택정비사업 시공사 선정 총회에서 시공사로 최종 선정됐다고 27일 밝혔다.현대엔지니어링의 ...,2023.11.27,서울,전체
1231,1231,서울 서대문구 인왕시장·유진상가 '역세권 활성화 사업' 선정,"인왕시장과 유진맨션을 포함한 서울 서대문구 홍제동 298-9번지 일대 42,572㎡ ‘홍제지구중심’이 ‘서울시 역세권 활성화 사업’ 대상지로 선정됐다.서 ...",2023.11.24,서울,전체
1232,1232,서울 중구 힐튼호텔 남산조망 살려 재개발,서울 중구 힐튼호텔이 남산 조망을 가리지 않고 재개발된다.서울시는 지난 22일제5차 도시계획위원회 분과소위원회(수권)에서 중구「힐튼 호텔(양동구 ...,2023.11.24,서울,전체
1233,1233,서울시 신속통합기획 후보지로 전농동·성북동·망원동 선정,"서울시는 6차 신속통합기획 민간재개발 후보지로 전농동 152-65일대, 성북동 3-38일대, 망원동 416-53일대를 선정했다고 23일 밝혔다.서울시는 선정기준(안) ...",2023.11.23,성북구,성북동
1234,1234,"서울 잠실 아시아선수촌아파트지구, 주상복합 재건축 가능",서울 송파구 잠실동에 위치한 아시아선수촌아파트지구가 지구단위계획구역으로 전환됐다.서울시는제18차 도시·건축공동위원회를 열고 ‘아시아선수 ...,2023.11.23,서울,전체
1235,1235,"코람코자산신탁, 경기 안양동 368번지 일대 가로주택정비사업 추진",코람코자산신탁은 경기안양시 만안구 안양동 368번지 일대 가로주택정비사업을 신탁방식으로 추진한다고 23일 밝혔다. 이날 코람코는 안양시청에 사업 ...,2023.11.23,그외,전체
1236,1236,신정네거리 상권‧생활권으로 변모,"신정네거리 일대가 상권, 생활권으로 변모한다.서울시는 제10차 도시재정비위원회를 통해 '신정 재정비촉진지구 재정비촉진계획(존치관리구역 지구단 ...",2023.11.23,서울,전체
1237,1237,서울 상봉역 역세권 227가구 공동주택 공급,"서울 중랑구 상봉동 107-6번지일원 면적 4,769.9㎡에 227가구 공동주택이 들어선다.서울시는 21일 제10차 도시재정비위원회를 열고 상봉재정비촉진지구 재정 ...",2023.11.22,서울,전체
1238,1238,"김동연 경기지사, ‘노후계획도시 특별법 연내 통과’ 국회에 요청",경기도가 국회에 ‘노후계획도시 정비 특별법’의 연내 제정을 공식 요청했다.염태영 경기도 경제부지사는21일 국회를 방문해 김동연 경기도지사 명의 ...,2023.11.21,그외,전체
1239,1239,"SH공사, ""3기 신도시 개발 참여"" 국토부에 건의",서울주택도시공사(SH공사)는 수도권 집값 안정에 기여하기 위해 3기 신도시 사업 참여를 국토교통부에 건의했다고 21일 밝혔다.SH공사가 참여 의사를 밝 ...,2023.11.21,서울,전체
1240,1240,"건산연 ""조합집행부 유능하고 도덕적이라면 사업 추진시 장점 커""","재개발·재건축사업장 10곳 중 9곳은 조합방식을 택해 정비사업을 추진 중이지만 전문성 부족, 집행부 비리, 대리인 문제 등에 있어서는 단점이 될 수 있 ...",2023.11.21,서울,전체
